timestamp_ms,term,latency_ms,cpu_percent,used_memory_mb,total_memory_mb
1761608421762,war,30621.234,24.41,25.47,4294.97
1761608421763,death,30620.626,38.70,25.47,4294.97
1761608421764,book,30620.615,41.11,25.47,4294.97
1761608421765,science,30620.124,0.04,25.47,4294.97
1761608452369,love,30606.119,0.04,26.22,4294.97
1761608452372,book,30612.481,20.95,26.54,4294.97
1761608452373,book,30608.983,45.55,26.54,4294.97
1761608452374,death,30611.931,55.83,26.54,4294.97
1761608452375,science,30607.936,38.82,26.54,4294.97
1761608452376,war,30614.753,38.60,27.14,4294.97
1761608452378,science,30615.941,48.88,27.14,4294.97
1761608452379,death,30613.560,38.46,27.14,4294.97
1761608482991,book,30616.687,0.04,27.48,4294.97
1761608482991,love,30617.455,44.91,27.48,4294.97
1761608482992,love,30611.776,53.81,27.48,4294.97
1761608482992,death,30617.031,24.50,27.56,4294.97
1761608482993,war,30621.743,47.21,27.56,4294.97
1761608482993,war,30615.337,46.01,27.56,4294.97
1761608482993,science,30617.843,18.29,27.48,4294.97
1761608513610,death,30614.297,0.04,28.73,4294.97
1761608513611,love,30615.491,15.87,28.73,4294.97
1761608513612,book,30615.484,65.53,28.73,4294.97
1761608513612,war,30616.929,35.57,28.73,4294.97
1761608513613,book,30618.310,32.72,28.81,4294.97
1761608513614,death,30616.782,38.72,28.81,4294.97
1761608513615,science,30619.823,-1.00,28.89,4294.97
1761608513616,science,30618.958,36.36,28.89,4294.97
1761608544220,science,30606.136,0.04,29.06,4294.97
1761608544221,war,30606.053,51.12,29.06,4294.97
1761608544221,death,30606.466,48.28,29.06,4294.97
1761608544222,love,30604.834,90.95,29.06,4294.97
1761608544222,book,30607.943,39.10,29.06,4294.97
1761608544224,love,30607.982,49.01,29.06,4294.97
1761608544229,book,30612.075,33.41,29.75,4294.97
1761608544230,war,30618.273,23.56,29.75,4294.97
1761608574848,book,30624.054,0.03,30.42,4294.97
1761608574849,death,30618.615,26.00,30.51,4294.97
1761608574849,science,30623.981,46.35,30.51,4294.97
1761608574849,war,30626.534,48.29,30.51,4294.97
1761608574850,death,30626.783,46.90,30.51,4294.97
1761608574850,science,30626.817,32.03,30.42,4294.97
1761608574850,love,30624.943,54.06,30.42,4294.97
1761608605470,death,30615.190,0.05,30.97,4294.97
1761608605471,war,30615.340,250.00,30.97,4294.97
1761608605472,war,30616.919,39.76,31.05,4294.97
1761608605472,love,30617.083,28.73,31.05,4294.97
1761608605472,book,30617.084,20.70,31.05,4294.97
1761608605473,science,30618.247,60.38,31.05,4294.97
1761608605474,love,30618.323,47.05,31.05,4294.97
1761608605476,book,30617.230,48.25,31.05,4294.97
1761608636087,science,30613.057,0.04,32.14,4294.97
1761608636088,love,30615.387,106.25,32.14,4294.97
1761608636089,war,30615.691,29.99,32.14,4294.97
1761608636089,science,30616.432,158.93,32.14,4294.97
1761608636090,death,30612.967,-1.00,32.14,4294.97
1761608636090,war,30613.779,34.18,32.15,4294.97
1761608636091,book,30614.601,36.21,32.14,4294.97
1761608636096,death,30624.259,30.20,32.64,4294.97
1761608666713,death,30622.252,0.09,33.10,4294.97
1761608666714,love,30624.474,46.50,33.10,4294.97
1761608666715,book,30621.475,42.59,33.10,4294.97
1761608666715,book,30623.736,0.00,33.10,4294.97
1761608666716,love,30622.065,57.00,33.10,4294.97
1761608666717,science,30622.986,33.87,33.10,4294.97
1761608666717,war,30622.077,52.04,33.10,4294.97
1761608697337,book,30617.345,0.05,33.65,4294.97
1761608697338,science,30617.338,160.71,33.65,4294.97
1761608697339,death,30620.197,94.64,33.95,4294.97
1761608697339,science,30620.176,40.69,33.95,4294.97
1761608697340,war,30618.804,100.40,33.65,4294.97
1761608697340,war,30619.623,18.05,33.65,4294.97
1761608697341,death,30621.784,37.17,34.72,4294.97
1761608697343,love,30622.415,-1.00,34.72,4294.97
1761608727956,love,30617.542,0.04,34.80,4294.97
1761608727958,science,30614.947,32.32,35.58,4294.97
